Company Name,Industry,Symbol,Series,ISIN Code,Bloomberg Code
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,POWF IS Equity
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,PWGR IS Equity
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,PRJ IS Equity
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,PREMIERE IS Equity
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,PEPL IS Equity
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,PG IS Equity
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,PNB IS Equity
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,RRKABEL IS Equity
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,RBK IS Equity
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,RECL IS Equity
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,RHIM IS Equity
RITES Ltd.,Construction,RITES,EQ,INE320J01015,RITE IS Equity
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,RDCK IS Equity
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,RVNL IS Equity
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,RAILTEL IS Equity
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,RAINBOW IS Equity
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,RMKF IS Equity
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,RCF IS Equity
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,REDI IS Equity
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,RELIANCE IS Equity
Reliance Infrastructure Ltd.,Power,RELINFRA,BE,INE036A01016,RELI IS Equity
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,RPWR IS Equity
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,SBFC IS Equity
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,SBICARD IS Equity
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBILIFE IS Equity
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,SJVN IS Equity
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,SKF IS Equity
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,SRF IS Equity
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,SAGILITY IS Equity
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,SAILIFE IS Equity
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,SAMMAANC IS Equity
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,MOTHERSO IS Equity
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,SAPPHIRE IS Equity
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,SEML IS Equity
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,SARE IS Equity
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,SCHFL IS Equity
Schloss Bangalore Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,THELEELA IS Equity
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,SCHN IS Equity
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,SCI IS Equity
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,SRCM IS Equity
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,SHFL IS Equity
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,SHYAMMET IS Equity
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,ENRIN IS Equity
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,SIEM IS Equity
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,SIGNATUR IS Equity
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,SOBHA IS Equity
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,SOIL IS Equity
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,SONACOMS IS Equity
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,SSOF IS Equity
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,STARHEAL IS Equity
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,SBIN IS Equity
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,SAIL IS Equity
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,SUMICHEM IS Equity
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,SUNP IS Equity
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,SUNTV IS Equity
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,SUF IS Equity
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,SF IS Equity
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,SI IS Equity
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,SUEL IS Equity
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038,SWANCORP IS Equity
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,SWIGGY IS Equity
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,SYNG IS Equity
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,SYRMA IS Equity
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,TBOTEK IS Equity
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,TVSL IS Equity
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,TTCH IS Equity
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,TCOM IS Equity
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,TCS IS Equity
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,TATACONS IS Equity
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,TELX IS Equity
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018,TATAINVE IS Equity
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,TTMT IS Equity
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,TPWR IS Equity
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TATA IS Equity
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,TATATECH IS Equity
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,TTLS IS Equity
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TECHM IS Equity
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,TECHNOE IS Equity
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,TEJASNET IS Equity
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017,NIACL IS Equity
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,TRCL IS Equity
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,TMX IS Equity
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,TMKN IS Equity
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,TITAGARH IS Equity
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,TTAN IS Equity
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,TRP IS Equity
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,TPW IS Equity
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,TARIL IS Equity
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,TRENT IS Equity
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,TRID IS Equity
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,TRE IS Equity
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,TRIV IS Equity
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,TIINDIA IS Equity
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,UCO IS Equity
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,UNOMINDA IS Equity
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,UPLL IS Equity
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,UTIAM IS Equity
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,UTCEM IS Equity
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,UNBK IS Equity
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,UBBL IS Equity
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,UNITDSPR IS Equity
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,USM IS Equity
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,VGRD IS Equity
Valor Estate Ltd.,Consumer Services,DBREALTY,EQ,INE879I01012,DBREALTY IS Equity
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,VTEX IS Equity
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,VBL IS Equity
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034,MANYAVAR IS Equity
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,VEDL IS Equity
Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ,INE781S01027,VENTIVE IS Equity
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,VIJAYA IS Equity
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,VMM IS Equity
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,IDEA IS Equity
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,VOLT IS Equity
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,WAAREEEN IS Equity
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,WLCO IS Equity
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,WELSPUNL IS Equity
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,WHIRL IS Equity
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,WPRO IS Equity
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,WPL IS Equity
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,YES IS Equity
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,ZCVCS IS Equity
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,Z IS Equity
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,ZEN IS Equity
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,ZENT IS Equity
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,ZYDUSLIF IS Equity
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,ECLX IS Equity
