Company Name,Industry,Symbol,Series,ISIN Code,Bloomberg Code
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,GAIL IS Equity
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,GVTD IS Equity
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,GMRAIRPO IS Equity
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,GRSE IS Equity
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,GICRE IS Equity
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,GILL IS Equity
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,GLAND IS Equity
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,GLXO IS Equity
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,GNP IS Equity
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,MEDANTA IS Equity
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,GODIGIT IS Equity
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,GODPI IS Equity
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,GP IS Equity
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,GOAGRO IS Equity
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,GCPL IS Equity
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,GDSP IS Equity
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,GPL IS Equity
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,GRAN IS Equity
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,GRIL IS Equity
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,GRASIM IS Equity
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027,GRAV IS Equity
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,GESCO IS Equity
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,FLUOROCH IS Equity
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,GUJGA IS Equity
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,GMDC IS Equity
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,GUJS IS Equity
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,HEG IS Equity
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,HBLENGIN IS Equity
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,HCLT IS Equity
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,HDFCAMC IS Equity
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,HDFCB IS Equity
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,HDFCLIFE IS Equity
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,HMFC IS Equity
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,HAPPSTMN IS Equity
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,HAVL IS Equity
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,HMCL IS Equity
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,HEXT IS Equity
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,HSCH IS Equity
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,HNDL IS Equity
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,HNAL IS Equity
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,HCP IS Equity
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,HPCL IS Equity
