1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
,BANDH,BANDHAN IS Equity,BANDHAN BANK LTD,3600,BANDH=Q5 is equity,BANDH=U5 is equity,Bandhan Bank Ltd Aug25,Bandhan Bank Ltd Sep25,BBG01V9XSB76,BBG01VT8QDY7,3600,3600,164.09
,BOB,BOB IS Equity,BANK OF BARODA,2925,BOB=Q5 is equity,BOB=U5 is equity,Bank of Baroda Aug25,Bank of Baroda Sep25,BBG01V9XSJ24,BBG01VT8QM13,2925,2925,242.45
,BOI,BOI IS Equity,BANK OF INDIA,5200,BOI=Q5 is equity,BOI=U5 is equity,Bank of India Aug25,Bank of India Sep25,BBG01V9XSJ42,BBG01VT8QM22,5200,5200,113.23
,BHE,BHE IS Equity,BHARAT ELECTRONICS LTD,2850,BHE=Q5 is equity,BHE=U5 is equity,BHARAT ELECTRON Aug25,BHARAT ELECTRON Sep25,BBG01V9XSG11,BBG01VT8QJK9,2850,2850,383.75
,BHFC,BHFC IS Equity,BHARAT FORGE LTD,500,BHFC=Q5 is equity,BHFC=U5 is equity,Bharat Forge Ltd Aug25,Bharat Forge Ltd Sep25,BBG01V9XSH46,BBG01VT8QKL5,500,500,1174.7
BHARTIARTL,BHART,BHARTI IS Equity,BHARTI AIRTEL LTD,475,BHART=Q5 is equity,BHART=U5 is equity,Bharti Airtel Aug25,Bharti Airtel Sep25,BBG01V9XSJG9,BBG01VT8QMD0,475,475,1876.6
,BHEL,BHEL IS Equity,BHARAT HEAVY ELECTRICALS,2625,BHEL=Q5 is equity,BHEL=U5 is equity,BHARAT HEAVY ELE Aug25,BHARAT HEAVY ELE Sep25,BBG01V9XSG84,BBG01VT8QJS1,2625,2625,222.6
,BIOS,BIOS IS Equity,BIOCON LTD,2500,BIOS=Q5 is equity,BIOS=U5 is equity,Biocon Ltd Aug25,Biocon Ltd Sep25,BBG01V9XSJR7,BBG01VT8QMP7,2500,2500,361.75
,BOS,BOS IS Equity,BOSCH LTD,25,BOS=Q5 is equity,BOS=U5 is equity,BOSCH Aug25,BOSCH Sep25,BBG01V9XSH91,BBG01VT8QKP1,25,25,38590
,BPCL,BPCL IS Equity,BHARAT PETROLEUM CORP LTD,1975,BPCL=Q5 is equity,BPCL=U5 is equity,Bharat Petroleum Aug25,Bharat Petroleum Sep25,BBG01V9XSHB8,BBG01VT8QKQ0,1975,1975,320.8
BRITANNIA,BRIT,BRIT IS Equity,BRITANNIA INDUSTRIES LTD,125,BRIT=Q5 is equity,BRIT=U5 is equity,Britannia Ind Ltd Aug25,Britannia Ind Ltd Sep25,BBG01V9XSKM9,BBG01VT8QNM8,125,125,5376.5
,BSE,BSE IS Equity,BSE LTD,375,BSE=Q5 is equity,BSE=U5 is equity,BSE LTD Aug25,BSE LTD Sep25,BBG01V9XSD18,BBG01VT8QGX1,375,375,2476
,CAMS,CAMS IS Equity,COMPUTER AGE MANAGEMENT SERV,150,CAMS=Q5 is equity,CAMS=U5 is equity,COMPUTER AGE MAN Aug25,COMPUTER AGE MAN Sep25,BBG01V9XSD27,BBG01VT8QGY0,150,150,3849.1
,CBK,CBK IS Equity,CANARA BANK,6750,CBK=Q5 is equity,CBK=U5 is equity,Canara Bank Ltd Aug25,Canara Bank Ltd Sep25,BBG01V9XSJL3,BBG01VT8QMJ4,6750,6750,108.98
CDSL,CDSL,CDSL IS Equity,CENTRAL DEPOSITORY SERVICES,475,CDSL=Q5 is equity,CDSL=U5 is equity,CENTRAL DEPOSITO Aug25,CENTRAL DEPOSITO Sep25,BBG01V9XSD36,BBG01VT8QH05,475,475,1558.4
,CESC,CESC IS Equity,CESC LTD,#N/A Invalid Security,CESC=Q5 is equity,NA,CESC Limited Aug25,#N/A Invalid Security,BBG01V9XSG20,#N/A Invalid Security,3625,#N/A Invalid Security,163.51
,CGPOW,CGPOWER IS Equity,CG POWER AND INDUSTRIAL SOLU,850,CGPOW=Q5 is equity,CGPOW=U5 is equity,CG POWER AND IND Aug25,CG POWER AND IND Sep25,BBG01V9XSG66,BBG01VT8QJQ3,850,850,670.95
CHOLAFIN,CIFC,CIFC IS Equity,CHOLAMANDALAM INVESTMENT AND,625,CIFC=Q5 is equity,CIFC=U5 is equity,CHOLAMANDALAM IN Aug25,CHOLAMANDALAM IN Sep25,BBG01V9XSLD7,BBG01VT8QP98,625,625,1473
,CIPLA,CIPLA IS Equity,CIPLA LTD,375,CIPLA=Q5 is equity,CIPLA=U5 is equity,Cipla Limited Aug25,Cipla Limited Sep25,BBG01V9XSG57,BBG01VT8QJP4,375,375,1563.4
,COAL,COAL IS Equity,COAL INDIA LTD,1350,COAL=Q5 is equity,COAL=U5 is equity,COAL INDIA LTD Aug25,COAL INDIA LTD Sep25,BBG01V9XSKD9,BBG01VT8QNC9,1350,1350,379.85
,COFOR,COFORGE IS Equity,COFORGE LIMITED,375,COFOR=Q5 is equity,COFOR=U5 is equity,COFORGE LIMITED Aug25,COFORGE LIMITED Sep25,BBG01V9XSL29,BBG01VT8QP07,375,375,1630.5
COLPAL,CLGT,CLGT IS Equity,COLGATE PALMOLIVE (INDIA),225,CLGT=Q5 is equity,CLGT=U5 is equity,Colgate-Palmolive Aug25,Colgate-Palmolive Sep25,BBG01V9XSHL7,BBG01VT8QKZ0,225,225,2179.9
